sr.no.,province,division,district,households_x,population_2023,average_household_size,population_2017,growth_rate,area(km²),density_2023(people/km²),primary_boys_schools,primary_girls_schools,secondary_boys_schools,secondary_girls_schools,high_boys_schools,high_girls_schools,Intermediate_boys_schools,Intermediate_girls_schools,total_boys_schools,total_girls_schools,total_schools,households_y,male,female,transgender,all genders,population 1998,sex ratio,average annual growth rate,people_per_school,population_growth_%
1,Balochistan,Kalat,awaran,27808,178958,6.44,121821,6.64,29510,6.06,194,107,24,13,29,10,2,2,249,132,381,18094,63023,58657,0,121680,118173,107.44,0.15,470,51.43729955235121
2,Balochistan,Kalat,kalat,33415,272506,8.16,211201,4.35,6622,41.15,218,84,23,18,27,17,1,1,269,120,389,55497,211695,200536,1,412232,237834,105.56,2.93,701,14.578235239705004
3,Balochistan,Kalat,khuzdar,161594,997214,6.17,798896,3.78,35380,28.19,486,177,45,46,32,21,6,1,569,245,814,120405,421268,380939,0,802207,417466,110.59,3.49,1225,138.8731058337685
4,Balochistan,Kalat,lasbela,115635,680977,5.89,576271,2.83,15153,44.94,430,124,46,29,27,11,4,4,507,168,675,93165,299299,274985,8,574292,312695,108.84,3.24,1009,117.77674730967875
5,Balochistan,Kalat,mastung,43736,313271,7.16,265676,2.79,5896,53.13,224,94,24,31,18,18,2,0,268,143,411,38801,137963,128498,0,266461,150650,107.37,3.04,762,107.94623299037505
7,Balochistan,Loralai,barkhan,23069,210249,9.11,171025,3.51,3514,59.83,435,153,18,25,14,9,4,1,471,188,659,26041,90196,81359,1,171556,103545,110.86,2.69,319,103.05084745762711
9,Balochistan,Loralai,loralai,38284,272432,7.12,244446,1.83,9830,27.71,248,95,22,18,13,13,0,1,283,127,410,55876,212451,184948,1,397400,250147,114.87,2.46,664,8.908761648150886
10,Balochistan,Loralai,musakhel,31257,182275,5.83,167243,1.45,5728,31.82,226,60,20,13,14,7,1,1,261,81,342,24826,90240,76777,0,167017,134056,117.54,1.16,533,35.96929641343916
11,Balochistan,Mekran,gwadar,50376,305160,6.06,262253,2.56,12637,24.15,164,61,24,22,23,13,1,2,212,98,310,39922,141771,121728,15,263514,185498,116.47,1.86,984,64.50851222115602
12,Balochistan,Mekran,kech,253526,1060931,4.18,907182,2.65,22539,47.07,341,190,57,32,45,34,7,8,450,264,714,138403,494443,414663,10,909116,413204,119.24,4.23,1486,156.7571949932721
13,Balochistan,Mekran,panjgur,117157,509781,4.35,315353,8.36,16891,30.18,198,138,28,21,21,16,3,3,250,178,428,42628,166731,149654,0,316385,234051,111.41,1.6,1191,117.80765730545906
14,Balochistan,Nasirabad,jaffarabad,81580,594558,7.29,513972,2.46,2445,243.17,383,139,34,18,20,13,2,0,439,170,609,79273,262336,251467,10,513813,291290,104.32,3.02,976,104.11205328023618
16,Balochistan,Nasirabad,kachhi,50035,442612,8.85,309932,6.14,7499,59.02,339,71,21,17,22,13,3,2,385,103,488,30140,126379,110651,0,237030,199457,114.21,0.91,907,121.90848152734675
